_Annual_J-D_2019_____________ L-OTI(^S^o^N^C) Anomaly vs 2000-2001              
   i   j     lon     lat    array(i,j)
   1  12 -179.00  -67.00        1.7618
   2  12 -177.00  -67.00        1.7618
   3  12 -175.00  -67.00        1.7618
   4  12 -173.00  -67.00        1.7618
   5  12 -171.00  -67.00        1.5750
   6  12 -169.00  -67.00        1.3881
   7  12 -167.00  -67.00        1.3881
   8  12 -165.00  -67.00        1.3881
   9  12 -163.00  -67.00        1.3881
  10  12 -161.00  -67.00     9999.0000
  11  12 -159.00  -67.00     9999.0000
  12  12 -157.00  -67.00     9999.0000
  13  12 -155.00  -67.00     9999.0000
  14  12 -153.00  -67.00     9999.0000
  15  12 -151.00  -67.00     9999.0000
  16  12 -149.00  -67.00     9999.0000
  17  12 -147.00  -67.00     9999.0000
  18  12 -145.00  -67.00     9999.0000
  19  12 -143.00  -67.00     9999.0000
  20  12 -141.00  -67.00     9999.0000
  21  12 -139.00  -67.00     9999.0000
  22  12 -137.00  -67.00     9999.0000
  23  12 -135.00  -67.00     9999.0000
  24  12 -133.00  -67.00     9999.0000
  25  12 -131.00  -67.00     9999.0000
  26  12 -129.00  -67.00     9999.0000
  27  12 -127.00  -67.00     9999.0000
  28  12 -125.00  -67.00     9999.0000
  29  12 -123.00  -67.00     9999.0000
  30  12 -121.00  -67.00     9999.0000
  31  12 -119.00  -67.00     9999.0000
  32  12 -117.00  -67.00     9999.0000
  33  12 -115.00  -67.00     9999.0000
  34  12 -113.00  -67.00     9999.0000
  35  12 -111.00  -67.00     9999.0000
  36  12 -109.00  -67.00     9999.0000
  37  12 -107.00  -67.00     9999.0000
  38  12 -105.00  -67.00     9999.0000
  39  12 -103.00  -67.00     9999.0000
  40  12 -101.00  -67.00     9999.0000
  41  12  -99.00  -67.00       -0.8354
  42  12  -97.00  -67.00       -0.8354
  43  12  -95.00  -67.00       -0.8354
  44  12  -93.00  -67.00       -0.8354
  45  12  -91.00  -67.00       -0.8354
  46  12  -89.00  -67.00       -0.7227
  47  12  -87.00  -67.00       -0.7227
  48  12  -85.00  -67.00       -0.7227
  49  12  -83.00  -67.00       -0.7227
  50  12  -81.00  -67.00       -0.6540
  51  12  -79.00  -67.00       -0.5853
  52  12  -77.00  -67.00       -0.5853
  53  12  -75.00  -67.00       -0.5853
  54  12  -73.00  -67.00       -0.5853
  55  12  -71.00  -67.00       -0.5545
  56  12  -69.00  -67.00       -0.5545
  57  12  -67.00  -67.00       -0.5545
  58  12  -65.00  -67.00       -0.5545
  59  12  -63.00  -67.00       -0.5495
  60  12  -61.00  -67.00       -0.5445
  61  12  -59.00  -67.00       -0.5445
  62  12  -57.00  -67.00       -0.5445
  63  12  -55.00  -67.00       -0.5445
  64  12  -53.00  -67.00       -0.5670
  65  12  -51.00  -67.00       -0.5670
  66  12  -49.00  -67.00       -0.5670
  67  12  -47.00  -67.00       -0.5670
  68  12  -45.00  -67.00       -0.5797
  69  12  -43.00  -67.00       -0.5924
  70  12  -41.00  -67.00       -0.5924
  71  12  -39.00  -67.00       -0.5924
  72  12  -37.00  -67.00       -0.5924
  73  12  -35.00  -67.00       -0.3450
  74  12  -33.00  -67.00       -0.3450
  75  12  -31.00  -67.00       -0.3450
  76  12  -29.00  -67.00       -0.3450
  77  12  -27.00  -67.00       -0.2348
  78  12  -25.00  -67.00       -0.1246
  79  12  -23.00  -67.00       -0.1246
  80  12  -21.00  -67.00       -0.1246
  81  12  -19.00  -67.00       -0.1246
  82  12  -17.00  -67.00       -0.1735
  83  12  -15.00  -67.00       -0.1735
  84  12  -13.00  -67.00       -0.1735
  85  12  -11.00  -67.00       -0.1735
  86  12   -9.00  -67.00       -0.1526
  87  12   -7.00  -67.00       -0.1317
  88  12   -5.00  -67.00       -0.1317
  89  12   -3.00  -67.00       -0.1317
  90  12   -1.00  -67.00       -0.1317
  91  12    1.00  -67.00       -0.0499
  92  12    3.00  -67.00       -0.0499
  93  12    5.00  -67.00       -0.0499
  94  12    7.00  -67.00       -0.0499
  95  12    9.00  -67.00        0.1015
  96  12   11.00  -67.00        0.2529
  97  12   13.00  -67.00        0.2529
  98  12   15.00  -67.00        0.2529
  99  12   17.00  -67.00        0.2529
 100  12   19.00  -67.00        1.2621
 101  12   21.00  -67.00        1.2621
 102  12   23.00  -67.00        1.2621
 103  12   25.00  -67.00        1.2621
 104  12   27.00  -67.00        1.4844
 105  12   29.00  -67.00        1.7066
 106  12   31.00  -67.00        1.7066
 107  12   33.00  -67.00        1.7066
 108  12   35.00  -67.00        1.7066
 109  12   37.00  -67.00        1.8117
 110  12   39.00  -67.00        1.8117
 111  12   41.00  -67.00        1.8117
 112  12   43.00  -67.00        1.8117
 113  12   45.00  -67.00        1.6829
 114  12   47.00  -67.00        1.5542
 115  12   49.00  -67.00        1.5542
 116  12   51.00  -67.00        1.5542
 117  12   53.00  -67.00        1.5542
 118  12   55.00  -67.00        0.9381
 119  12   57.00  -67.00        0.9381
 120  12   59.00  -67.00        0.9381
 121  12   61.00  -67.00        0.9381
 122  12   63.00  -67.00        0.6907
 123  12   65.00  -67.00        0.4433
 124  12   67.00  -67.00        0.4433
 125  12   69.00  -67.00        0.4433
 126  12   71.00  -67.00        0.4433
 127  12   73.00  -67.00        0.1234
 128  12   75.00  -67.00        0.1234
 129  12   77.00  -67.00        0.1234
 130  12   79.00  -67.00        0.1234
 131  12   81.00  -67.00        0.0552
 132  12   83.00  -67.00       -0.0131
 133  12   85.00  -67.00       -0.0131
 134  12   87.00  -67.00       -0.0131
 135  12   89.00  -67.00       -0.0131
 136  12   91.00  -67.00       -0.1516
 137  12   93.00  -67.00       -0.1516
 138  12   95.00  -67.00       -0.1516
 139  12   97.00  -67.00       -0.1516
 140  12   99.00  -67.00       -0.1870
 141  12  101.00  -67.00       -0.2224
 142  12  103.00  -67.00       -0.2224
 143  12  105.00  -67.00       -0.2224
 144  12  107.00  -67.00       -0.2224
 145  12  109.00  -67.00       -0.2235
 146  12  111.00  -67.00       -0.2235
 147  12  113.00  -67.00       -0.2235
 148  12  115.00  -67.00       -0.2235
 149  12  117.00  -67.00       -0.2887
 150  12  119.00  -67.00       -0.3539
 151  12  121.00  -67.00       -0.3539
 152  12  123.00  -67.00       -0.3539
 153  12  125.00  -67.00       -0.3539
 154  12  127.00  -67.00       -0.4283
 155  12  129.00  -67.00       -0.4283
 156  12  131.00  -67.00       -0.4283
 157  12  133.00  -67.00       -0.4283
 158  12  135.00  -67.00       -0.4409
 159  12  137.00  -67.00       -0.4534
 160  12  139.00  -67.00       -0.4534
 161  12  141.00  -67.00       -0.4534
 162  12  143.00  -67.00       -0.4534
 163  12  145.00  -67.00       -0.0328
 164  12  147.00  -67.00       -0.0328
 165  12  149.00  -67.00       -0.0328
 166  12  151.00  -67.00       -0.0328
 167  12  153.00  -67.00        0.3078
 168  12  155.00  -67.00        0.6485
 169  12  157.00  -67.00        0.6485
 170  12  159.00  -67.00        0.6485
 171  12  161.00  -67.00        0.6485
 172  12  163.00  -67.00        1.6166
 173  12  165.00  -67.00        1.6166
 174  12  167.00  -67.00        1.6166
 175  12  169.00  -67.00        1.6166
 176  12  171.00  -67.00        1.7021
 177  12  173.00  -67.00        1.7875
 178  12  175.00  -67.00        1.7875
 179  12  177.00  -67.00        1.7875
 180  12  179.00  -67.00        1.7875
   1  13 -179.00  -65.00        1.1917
   2  13 -177.00  -65.00        1.1917
   3  13 -175.00  -65.00        1.1748
   4  13 -173.00  -65.00        1.1692
   5  13 -171.00  -65.00        1.1983
   6  13 -169.00  -65.00        1.2092
   7  13 -167.00  -65.00        1.2486
   8  13 -165.00  -65.00        1.3881
   9  13 -163.00  -65.00        1.3881
  10  13 -161.00  -65.00     9999.0000
  11  13 -159.00  -65.00     9999.0000
  12  13 -157.00  -65.00     9999.0000
  13  13 -155.00  -65.00     9999.0000
  14  13 -153.00  -65.00     9999.0000
  15  13 -151.00  -65.00     9999.0000
  16  13 -149.00  -65.00     9999.0000
  17  13 -147.00  -65.00     9999.0000
  18  13 -145.00  -65.00     9999.0000
  19  13 -143.00  -65.00     9999.0000
  20  13 -141.00  -65.00     9999.0000
  21  13 -139.00  -65.00     9999.0000
  22  13 -137.00  -65.00     9999.0000
  23  13 -135.00  -65.00     9999.0000
  24  13 -133.00  -65.00     9999.0000
  25  13 -131.00  -65.00        0.0308
  26  13 -129.00  -65.00        0.0308
  27  13 -127.00  -65.00        0.0308
  28  13 -125.00  -65.00        0.0617
  29  13 -123.00  -65.00        0.0617
  30  13 -121.00  -65.00        0.0748
  31  13 -119.00  -65.00        0.0791
  32  13 -117.00  -65.00       -0.0355
  33  13 -115.00  -65.00       -0.0578
  34  13 -113.00  -65.00       -0.0631
  35  13 -111.00  -65.00       -0.0791
  36  13 -109.00  -65.00       -0.0791
  37  13 -107.00  -65.00       -0.3649
  38  13 -105.00  -65.00       -0.3649
  39  13 -103.00  -65.00       -0.3752
  40  13 -101.00  -65.00       -0.3786
  41  13  -99.00  -65.00       -0.4578
  42  13  -97.00  -65.00       -0.5194
  43  13  -95.00  -65.00       -0.5250
  44  13  -93.00  -65.00       -0.5420
  45  13  -91.00  -65.00       -0.5420
  46  13  -89.00  -65.00       -0.7576
  47  13  -87.00  -65.00       -0.7576
  48  13  -85.00  -65.00       -0.7633
  49  13  -83.00  -65.00       -0.7652
  50  13  -81.00  -65.00       -0.6754
  51  13  -79.00  -65.00       -0.5856
  52  13  -77.00  -65.00       -0.5883
  53  13  -75.00  -65.00       -0.5965
  54  13  -73.00  -65.00       -0.5965
  55  13  -71.00  -65.00       -0.5199
  56  13  -69.00  -65.00       -0.5199
  57  13  -67.00  -65.00       -0.5204
  58  13  -65.00  -65.00       -0.5206
  59  13  -63.00  -65.00       -0.5262
  60  13  -61.00  -65.00       -0.5318
  61  13  -59.00  -65.00       -0.5331
  62  13  -57.00  -65.00       -0.5371
  63  13  -55.00  -65.00       -0.5371
  64  13  -53.00  -65.00       -0.5679
  65  13  -51.00  -65.00       -0.5679
  66  13  -49.00  -65.00       -0.5726
  67  13  -47.00  -65.00       -0.5742
  68  13  -45.00  -65.00       -0.6095
  69  13  -43.00  -65.00       -0.6448
  70  13  -41.00  -65.00       -0.6495
  71  13  -39.00  -65.00       -0.6635
  72  13  -37.00  -65.00       -0.6635
  73  13  -35.00  -65.00       -0.9021
  74  13  -33.00  -65.00       -0.9021
  75  13  -31.00  -65.00       -0.9009
  76  13  -29.00  -65.00       -0.9005
  77  13  -27.00  -65.00       -0.6235
  78  13  -25.00  -65.00       -0.3465
  79  13  -23.00  -65.00       -0.3308
  80  13  -21.00  -65.00       -0.2834
  81  13  -19.00  -65.00       -0.2834
  82  13  -17.00  -65.00       -0.2952
  83  13  -15.00  -65.00       -0.2952
  84  13  -13.00  -65.00       -0.2938
  85  13  -11.00  -65.00       -0.2933
  86  13   -9.00  -65.00       -0.2328
  87  13   -7.00  -65.00       -0.1723
  88  13   -5.00  -65.00       -0.1677
  89  13   -3.00  -65.00       -0.1540
  90  13   -1.00  -65.00       -0.1540
  91  13    1.00  -65.00       -0.0528
  92  13    3.00  -65.00       -0.0528
  93  13    5.00  -65.00       -0.0429
  94  13    7.00  -65.00       -0.0396
  95  13    9.00  -65.00        0.0601
  96  13   11.00  -65.00        0.1597
  97  13   13.00  -65.00        0.1596
  98  13   15.00  -65.00        0.1595
  99  13   17.00  -65.00        0.1595
 100  13   19.00  -65.00        1.1006
 101  13   21.00  -65.00        1.1006
 102  13   23.00  -65.00        1.1284
 103  13   25.00  -65.00        1.1377
 104  13   27.00  -65.00        1.4007
 105  13   29.00  -65.00        1.6636
 106  13   31.00  -65.00        1.6714
 107  13   33.00  -65.00        1.6945
 108  13   35.00  -65.00        1.6945
 109  13   37.00  -65.00        1.7911
 110  13   39.00  -65.00        1.7911
 111  13   41.00  -65.00        1.7738
 112  13   43.00  -65.00        1.7681
 113  13   45.00  -65.00        1.6404
 114  13   47.00  -65.00        1.5128
 115  13   49.00  -65.00        1.5064
 116  13   51.00  -65.00        1.4874
 117  13   53.00  -65.00        1.4874
 118  13   55.00  -65.00        0.9050
 119  13   57.00  -65.00        0.9050
 120  13   59.00  -65.00        0.8554
 121  13   61.00  -65.00        0.8389
 122  13   63.00  -65.00        0.6039
 123  13   65.00  -65.00        0.3690
 124  13   67.00  -65.00        0.3658
 125  13   69.00  -65.00        0.3561
 126  13   71.00  -65.00        0.3561
 127  13   73.00  -65.00        0.1348
 128  13   75.00  -65.00        0.1348
 129  13   77.00  -65.00        0.1237
 130  13   79.00  -65.00        0.1200
 131  13   81.00  -65.00        0.0461
 132  13   83.00  -65.00       -0.0278
 133  13   85.00  -65.00       -0.0313
 134  13   87.00  -65.00       -0.0418
 135  13   89.00  -65.00       -0.0418
 136  13   91.00  -65.00       -0.1622
 137  13   93.00  -65.00       -0.1622
 138  13   95.00  -65.00       -0.1682
 139  13   97.00  -65.00       -0.1701
 140  13   99.00  -65.00       -0.2104
 141  13  101.00  -65.00       -0.2507
 142  13  103.00  -65.00       -0.2512
 143  13  105.00  -65.00       -0.2529
 144  13  107.00  -65.00       -0.2529
 145  13  109.00  -65.00       -0.2710
 146  13  111.00  -65.00       -0.2710
 147  13  113.00  -65.00       -0.2730
 148  13  115.00  -65.00       -0.2737
 149  13  117.00  -65.00       -0.3434
 150  13  119.00  -65.00       -0.4131
 151  13  121.00  -65.00       -0.4158
 152  13  123.00  -65.00       -0.4237
 153  13  125.00  -65.00       -0.4237
 154  13  127.00  -65.00       -0.4945
 155  13  129.00  -65.00       -0.4945
 156  13  131.00  -65.00       -0.3681
 157  13  133.00  -65.00       -0.3259
 158  13  135.00  -65.00       -0.3449
 159  13  137.00  -65.00       -0.3638
 160  13  139.00  -65.00       -0.4049
 161  13  141.00  -65.00       -0.5284
 162  13  143.00  -65.00       -0.5284
 163  13  145.00  -65.00       -0.4579
 164  13  147.00  -65.00       -0.4579
 165  13  149.00  -65.00       -0.4472
 166  13  151.00  -65.00       -0.4436
 167  13  153.00  -65.00       -0.1684
 168  13  155.00  -65.00        0.1068
 169  13  157.00  -65.00        0.1182
 170  13  159.00  -65.00        0.1522
 171  13  161.00  -65.00        0.1522
 172  13  163.00  -65.00        1.5771
 173  13  165.00  -65.00        1.5771
 174  13  167.00  -65.00        1.5866
 175  13  169.00  -65.00        1.5898
 176  13  171.00  -65.00        1.5733
 177  13  173.00  -65.00        1.5568
 178  13  175.00  -65.00        1.5550
 179  13  177.00  -65.00        1.5497
 180  13  179.00  -65.00        1.5497
   1  14 -179.00  -63.00        0.3864
   2  14 -177.00  -63.00        0.3864
   3  14 -175.00  -63.00        0.3445
   4  14 -173.00  -63.00        0.3306
   5  14 -171.00  -63.00        0.2674
   6  14 -169.00  -63.00        0.2042
   7  14 -167.00  -63.00        0.2042
   8  14 -165.00  -63.00     9999.0000
   9  14 -163.00  -63.00     9999.0000
  10  14 -161.00  -63.00     9999.0000
  11  14 -159.00  -63.00     9999.0000
  12  14 -157.00  -63.00     9999.0000
  13  14 -155.00  -63.00     9999.0000
  14  14 -153.00  -63.00     9999.0000
  15  14 -151.00  -63.00     9999.0000
  16  14 -149.00  -63.00     9999.0000
  17  14 -147.00  -63.00     9999.0000
  18  14 -145.00  -63.00     9999.0000
  19  14 -143.00  -63.00     9999.0000
  20  14 -141.00  -63.00     9999.0000
  21  14 -139.00  -63.00     9999.0000
  22  14 -137.00  -63.00     9999.0000
  23  14 -135.00  -63.00     9999.0000
  24  14 -133.00  -63.00     9999.0000
  25  14 -131.00  -63.00        0.0308
  26  14 -129.00  -63.00        0.0308
  27  14 -127.00  -63.00        0.0308
  28  14 -125.00  -63.00        0.0617
  29  14 -123.00  -63.00        0.0617
  30  14 -121.00  -63.00        0.0748
  31  14 -119.00  -63.00        0.0791
  32  14 -117.00  -63.00        0.0352
  33  14 -115.00  -63.00       -0.0087
  34  14 -113.00  -63.00       -0.0361
  35  14 -111.00  -63.00       -0.1181
  36  14 -109.00  -63.00       -0.1181
  37  14 -107.00  -63.00       -0.2551
  38  14 -105.00  -63.00       -0.2551
  39  14 -103.00  -63.00       -0.3079
  40  14 -101.00  -63.00       -0.3254
  41  14  -99.00  -63.00       -0.3494
  42  14  -97.00  -63.00       -0.3735
  43  14  -95.00  -63.00       -0.4109
  44  14  -93.00  -63.00       -0.5231
  45  14  -91.00  -63.00       -0.5231
  46  14  -89.00  -63.00       -0.5612
  47  14  -87.00  -63.00       -0.5612
  48  14  -85.00  -63.00       -0.5988
  49  14  -83.00  -63.00       -0.6113
  50  14  -81.00  -63.00       -0.6367
  51  14  -79.00  -63.00       -0.6621
  52  14  -77.00  -63.00       -0.6801
  53  14  -75.00  -63.00       -0.7343
  54  14  -73.00  -63.00       -0.7343
  55  14  -71.00  -63.00       -0.4693
  56  14  -69.00  -63.00       -0.4693
  57  14  -67.00  -63.00       -0.4728
  58  14  -65.00  -63.00       -0.4740
  59  14  -63.00  -63.00       -0.4819
  60  14  -61.00  -63.00       -0.4897
  61  14  -59.00  -63.00       -0.4986
  62  14  -57.00  -63.00       -0.5250
  63  14  -55.00  -63.00       -0.5250
  64  14  -53.00  -63.00       -0.5562
  65  14  -51.00  -63.00       -0.5562
  66  14  -49.00  -63.00       -0.5875
  67  14  -47.00  -63.00       -0.5979
  68  14  -45.00  -63.00       -0.6284
  69  14  -43.00  -63.00       -0.6588
  70  14  -41.00  -63.00       -0.6897
  71  14  -39.00  -63.00       -0.7824
  72  14  -37.00  -63.00       -0.7824
  73  14  -35.00  -63.00       -1.0103
  74  14  -33.00  -63.00       -1.0103
  75  14  -31.00  -63.00       -1.0026
  76  14  -29.00  -63.00       -1.0000
  77  14  -27.00  -63.00       -0.8890
  78  14  -25.00  -63.00       -0.7781
  79  14  -23.00  -63.00       -0.6737
  80  14  -21.00  -63.00       -0.3604
  81  14  -19.00  -63.00       -0.3604
  82  14  -17.00  -63.00       -0.3338
  83  14  -15.00  -63.00       -0.3338
  84  14  -13.00  -63.00       -0.3244
  85  14  -11.00  -63.00       -0.3213
  86  14   -9.00  -63.00       -0.3032
  87  14   -7.00  -63.00       -0.2851
  88  14   -5.00  -63.00       -0.2547
  89  14   -3.00  -63.00       -0.1637
  90  14   -1.00  -63.00       -0.1637
  91  14    1.00  -63.00       -0.0768
  92  14    3.00  -63.00       -0.0768
  93  14    5.00  -63.00       -0.0110
  94  14    7.00  -63.00        0.0110
  95  14    9.00  -63.00        0.2059
  96  14   11.00  -63.00        0.4008
  97  14   13.00  -63.00        0.4006
  98  14   15.00  -63.00        0.4000
  99  14   17.00  -63.00        0.4000
 100  14   19.00  -63.00        0.8418
 101  14   21.00  -63.00        0.8418
 102  14   23.00  -63.00        1.0258
 103  14   25.00  -63.00        1.0872
 104  14   27.00  -63.00        1.3158
 105  14   29.00  -63.00        1.5445
 106  14   31.00  -63.00        1.5955
 107  14   33.00  -63.00        1.7485
 108  14   35.00  -63.00        1.7485
 109  14   37.00  -63.00        1.8100
 110  14   39.00  -63.00        1.8100
 111  14   41.00  -63.00        1.6955
 112  14   43.00  -63.00        1.6574
 113  14   45.00  -63.00        1.5686
 114  14   47.00  -63.00        1.4798
 115  14   49.00  -63.00        1.4378
 116  14   51.00  -63.00        1.3119
 117  14   53.00  -63.00        1.3119
 118  14   55.00  -63.00        1.0441
 119  14   57.00  -63.00        1.0441
 120  14   59.00  -63.00        0.7162
 121  14   61.00  -63.00        0.6069
 122  14   63.00  -63.00        0.4931
 123  14   65.00  -63.00        0.3793
 124  14   67.00  -63.00        0.3580
 125  14   69.00  -63.00        0.2941
 126  14   71.00  -63.00        0.2941
 127  14   73.00  -63.00        0.1768
 128  14   75.00  -63.00        0.1768
 129  14   77.00  -63.00        0.1032
 130  14   79.00  -63.00        0.0787
 131  14   81.00  -63.00        0.0295
 132  14   83.00  -63.00       -0.0198
 133  14   85.00  -63.00       -0.0430
 134  14   87.00  -63.00       -0.1127
 135  14   89.00  -63.00       -0.1127
 136  14   91.00  -63.00       -0.1597
 137  14   93.00  -63.00       -0.1597
 138  14   95.00  -63.00       -0.1990
 139  14   97.00  -63.00       -0.2121
 140  14   99.00  -63.00       -0.2299
 141  14  101.00  -63.00       -0.2477
 142  14  103.00  -63.00       -0.2514
 143  14  105.00  -63.00       -0.2625
 144  14  107.00  -63.00       -0.2625
 145  14  109.00  -63.00       -0.2774
 146  14  111.00  -63.00       -0.2774
 147  14  113.00  -63.00       -0.2908
 148  14  115.00  -63.00       -0.2952
 149  14  117.00  -63.00       -0.3497
 150  14  119.00  -63.00       -0.4041
 151  14  121.00  -63.00       -0.4215
 152  14  123.00  -63.00       -0.4739
 153  14  125.00  -63.00       -0.4739
 154  14  127.00  -63.00       -0.5106
 155  14  129.00  -63.00       -0.5106
 156  14  131.00  -63.00        0.3260
 157  14  133.00  -63.00        0.6049
 158  14  135.00  -63.00        0.5806
 159  14  137.00  -63.00        0.5564
 160  14  139.00  -63.00        0.2841
 161  14  141.00  -63.00       -0.5329
 162  14  143.00  -63.00       -0.5329
 163  14  145.00  -63.00       -0.5206
 164  14  147.00  -63.00       -0.5206
 165  14  149.00  -63.00       -0.4498
 166  14  151.00  -63.00       -0.4262
 167  14  153.00  -63.00       -0.3755
 168  14  155.00  -63.00       -0.3248
 169  14  157.00  -63.00       -0.2497
 170  14  159.00  -63.00       -0.0243
 171  14  161.00  -63.00       -0.0243
 172  14  163.00  -63.00        0.6834
 173  14  165.00  -63.00        0.6834
 174  14  167.00  -63.00        0.7462
 175  14  169.00  -63.00        0.7671
 176  14  171.00  -63.00        0.6180
 177  14  173.00  -63.00        0.4689
 178  14  175.00  -63.00        0.4572
 179  14  177.00  -63.00        0.4220
 180  14  179.00  -63.00        0.4220
   1  15 -179.00  -61.00        0.4699
   2  15 -177.00  -61.00        0.4699
   3  15 -175.00  -61.00        0.4199
   4  15 -173.00  -61.00        0.4032
   5  15 -171.00  -61.00        0.3324
   6  15 -169.00  -61.00        0.2616
   7  15 -167.00  -61.00        0.2548
   8  15 -165.00  -61.00        0.2300
   9  15 -163.00  -61.00        0.2300
  10  15 -161.00  -61.00        0.1668
  11  15 -159.00  -61.00        0.1668
  12  15 -157.00  -61.00        0.1247
  13  15 -155.00  -61.00        0.1107
  14  15 -153.00  -61.00        0.1107
  15  15 -151.00  -61.00     9999.0000
  16  15 -149.00  -61.00        0.2669
  17  15 -147.00  -61.00        0.2669
  18  15 -145.00  -61.00        0.2669
  19  15 -143.00  -61.00        0.3150
  20  15 -141.00  -61.00        0.3150
  21  15 -139.00  -61.00        0.2956
  22  15 -137.00  -61.00        0.2892
  23  15 -135.00  -61.00        0.2442
  24  15 -133.00  -61.00        0.1991
  25  15 -131.00  -61.00        0.1979
  26  15 -129.00  -61.00        0.1947
  27  15 -127.00  -61.00        0.1947
  28  15 -125.00  -61.00        0.2007
  29  15 -123.00  -61.00        0.2007
  30  15 -121.00  -61.00        0.1927
  31  15 -119.00  -61.00        0.1900
  32  15 -117.00  -61.00        0.1478
  33  15 -115.00  -61.00        0.1055
  34  15 -113.00  -61.00        0.0872
  35  15 -111.00  -61.00        0.0323
  36  15 -109.00  -61.00        0.0323
  37  15 -107.00  -61.00       -0.1022
  38  15 -105.00  -61.00       -0.1022
  39  15 -103.00  -61.00       -0.1618
  40  15 -101.00  -61.00       -0.1816
  41  15  -99.00  -61.00       -0.2252
  42  15  -97.00  -61.00       -0.2687
  43  15  -95.00  -61.00       -0.3110
  44  15  -93.00  -61.00       -0.4379
  45  15  -91.00  -61.00       -0.4379
  46  15  -89.00  -61.00       -0.4709
  47  15  -87.00  -61.00       -0.4709
  48  15  -85.00  -61.00       -0.5143
  49  15  -83.00  -61.00       -0.5288
  50  15  -81.00  -61.00       -0.5637
  51  15  -79.00  -61.00       -0.5986
  52  15  -77.00  -61.00       -0.6030
  53  15  -75.00  -61.00       -0.6162
  54  15  -73.00  -61.00       -0.6162
  55  15  -71.00  -61.00       -0.5649
  56  15  -69.00  -61.00       -0.5649
  57  15  -67.00  -61.00       -0.5128
  58  15  -65.00  -61.00       -0.4955
  59  15  -63.00  -61.00       -0.4240
  60  15  -61.00  -61.00       -0.3525
  61  15  -59.00  -61.00       -0.3481
  62  15  -57.00  -61.00       -0.3348
  63  15  -55.00  -61.00       -0.3348
  64  15  -53.00  -61.00       -0.5486
  65  15  -51.00  -61.00       -0.5486
  66  15  -49.00  -61.00       -0.6016
  67  15  -47.00  -61.00       -0.6192
  68  15  -45.00  -61.00       -0.6607
  69  15  -43.00  -61.00       -0.7021
  70  15  -41.00  -61.00       -0.7404
  71  15  -39.00  -61.00       -0.8555
  72  15  -37.00  -61.00       -0.8555
  73  15  -35.00  -61.00       -0.9690
  74  15  -33.00  -61.00       -0.9690
  75  15  -31.00  -61.00       -0.9556
  76  15  -29.00  -61.00       -0.9511
  77  15  -27.00  -61.00       -0.9160
  78  15  -25.00  -61.00       -0.8809
  79  15  -23.00  -61.00       -0.7642
  80  15  -21.00  -61.00       -0.4142
  81  15  -19.00  -61.00       -0.4142
  82  15  -17.00  -61.00       -0.3558
  83  15  -15.00  -61.00       -0.3558
  84  15  -13.00  -61.00       -0.3541
  85  15  -11.00  -61.00       -0.3536
  86  15   -9.00  -61.00       -0.3504
  87  15   -7.00  -61.00       -0.3473
  88  15   -5.00  -61.00       -0.3420
  89  15   -3.00  -61.00       -0.3262
  90  15   -1.00  -61.00       -0.3262
  91  15    1.00  -61.00       -0.0768
  92  15    3.00  -61.00       -0.0768
  93  15    5.00  -61.00        0.3136
  94  15    7.00  -61.00        0.3362
  95  15    9.00  -61.00        0.3476
  96  15   11.00  -61.00        0.3590
  97  15   13.00  -61.00        0.3590
  98  15   15.00  -61.00        0.3589
  99  15   17.00  -61.00        0.3589
 100  15   19.00  -61.00        0.8418
 101  15   21.00  -61.00        0.8418
 102  15   23.00  -61.00        1.2216
 103  15   25.00  -61.00        1.2437
 104  15   27.00  -61.00        1.3138
 105  15   29.00  -61.00        1.3840
 106  15   31.00  -61.00        1.3998
 107  15   33.00  -61.00        1.4472
 108  15   35.00  -61.00        1.4472
 109  15   37.00  -61.00        1.5739
 110  15   39.00  -61.00        1.5739
 111  15   41.00  -61.00        1.6282
 112  15   43.00  -61.00        1.6464
 113  15   45.00  -61.00        1.5061
 114  15   47.00  -61.00        1.3659
 115  15   49.00  -61.00        1.2768
 116  15   51.00  -61.00        1.0094
 117  15   53.00  -61.00        1.0094
 118  15   55.00  -61.00        0.7673
 119  15   57.00  -61.00        0.7673
 120  15   59.00  -61.00        0.4554
 121  15   61.00  -61.00        0.3514
 122  15   63.00  -61.00        0.3512
 123  15   65.00  -61.00        0.3509
 124  15   67.00  -61.00        0.3483
 125  15   69.00  -61.00        0.3402
 126  15   71.00  -61.00        0.3402
 127  15   73.00  -61.00        0.2015
 128  15   75.00  -61.00        0.2015
 129  15   77.00  -61.00        0.0757
 130  15   79.00  -61.00        0.0338
 131  15   81.00  -61.00       -0.0289
 132  15   83.00  -61.00       -0.0917
 133  15   85.00  -61.00       -0.1029
 134  15   87.00  -61.00       -0.1366
 135  15   89.00  -61.00       -0.1366
 136  15   91.00  -61.00       -0.1917
 137  15   93.00  -61.00       -0.1917
 138  15   95.00  -61.00       -0.2179
 139  15   97.00  -61.00       -0.2266
 140  15   99.00  -61.00       -0.2374
 141  15  101.00  -61.00       -0.2481
 142  15  103.00  -61.00       -0.1401
 143  15  105.00  -61.00        0.1838
 144  15  107.00  -61.00        0.1838
 145  15  109.00  -61.00        0.1758
 146  15  111.00  -61.00        0.1758
 147  15  113.00  -61.00        0.1968
 148  15  115.00  -61.00        0.2038
 149  15  117.00  -61.00        0.1946
 150  15  119.00  -61.00        0.1854
 151  15  121.00  -61.00        0.1997
 152  15  123.00  -61.00        0.2427
